,Date,Messages
879,2021-05-08,shiba 
881,2021-05-08,i am still missing 4million shiba :face_with_steam_from_nose: 
882,2021-05-08,doge to the moon 
883,2021-05-08,what about shiba??????? 
885,2021-05-08,"i need help, i bought 999.999 shiba and they did not show up, then i bought 200.000 and they shower up no problem "
886,2021-05-08,"hi, money hhs already taken from my account but not showing in my crypto.com app. i tried to buy shabu coin and when everything is done and money hhs taken out my account app said please try again. where my money is gone "
887,2021-05-08,why i bought the coin shiba and coin not show 
888,2021-05-08,shib alible in crypto.com so why ? le collard 
889,2021-05-08,"bye 9 mil shib, have 6 mil( "
890,2021-05-08,"i need help, i bought 999.999 shiba and try did not show up, the i bought 200.000 and they shower up no problem "
891,2021-05-08,"shiba to the moon, too bad the rocket was bought on wish xe "
892,2021-05-08,i think it is because too many people want shiba 
893,2021-05-08,i already deposit..i buy shib coin.. 
894,2021-05-08,"because coengage was not listed shiba nor doge, and biddance is a monster compare to crypto.com ... "
895,2021-05-08,my shib coin still no have in my wallet 
896,2021-05-08,how much doge now? 
897,2021-05-08,it is true that shiba will be on crypto.com 
898,2021-05-08,i try to buy shiba inr and they login me out 
899,2021-05-08,"erik, can you tell the community, if we get our coiny we have bought? me for example: bought 4million shiba on second transaction but have not received them yet. 
money is gone from credit card and the app said ,,timed out"", froze end did not show up the bought coins. 
have not even received a transformation via mail. "
900,2021-05-08,i brought shiba twice 1 million first time and money took but no coins. 2nd time brought 15 million money took and got coins. where is my other 1 million? 
901,2021-05-08,it working flawlessly on my end. I am a 100 million shiba owner 
902,2021-05-08,i want to get into shiba so i do not lose the opportunity 
903,2021-05-08,do you guts think shiba will still rise or will go down now? 
904,2021-05-08,is shiba inr the because of app issue ? 
905,2021-05-08,what is with shiba? 
906,2021-05-08,is shiba safe? 
907,2021-05-08,go shiba goony 
908,2021-05-08,shiba is going nuts 
909,2021-05-08,wto is shiba 
910,2021-05-08,cannot login is this normal today because of dogecoin 
911,2021-05-08,i just bought 39million shiba :face_savoring_food::face_savoring_food: 
912,2021-05-08,shiba to the moon? 
913,2021-05-08,"hey. crypto, i just bought some shib, the payment times out but the money hhs left my account and i have no shib? "
914,2021-05-08,is there an admix that can help? i bought some shiba inr and during process it timed out but it charged my card but i did not relieve my $shib 
915,2021-05-08,what is your price prediction for shiba? 
916,2021-05-08,no i have plenty shiba thd just annoying you shamming every 2 secs! 
917,2021-05-08,"what do you think of shiba 
worth something? "
918,2021-05-08,"my shiba biro :loudly_crying_face: hahn its going nut, i can get in and we all know how fast they pull the rug! "
919,2021-05-08,we need to pump shiba to the monodon 
921,2021-05-08,shib available on crypto.com? lalo wow i just might buy some!! 
922,2021-05-08,why when i try to buy shiba given me an error? 
923,2021-05-08,shib is a wild lottery ticket for the world! lalo tate so crazy! 
924,2021-05-08,buy some shib 
925,2021-05-08,so why cannot i buy shiba inr 
926,2021-05-08,who want shib instant? 
927,2021-05-08,who need shib pm me as soon as possible proof on 
928,2021-05-08,how long hhs shib been available on crypto.com 
929,2021-05-08,manage to sign in and my 15 million shiba have gone walkies. nice 
930,2021-05-08,just bought 10m shiba anyone else who bought? :beaming_face_with_smiling_eyes::dog_face: 
931,2021-05-08,let us make shiba inr the next dogecoin :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: 
932,2021-05-08,doge will pump 
933,2021-05-08,and when it does I am sure shib will to 
934,2021-05-08,sound like you did not join the dogecoin party and you are mad about it 
935,2021-05-08,not like copywise script doge 
936,2021-05-08,"personal opinion: i do not think doge will end well for most. good luck to you, but I am not hooping on that train and will not regret missing it. "
937,2021-05-08,shiba expending a pump? 
938,2021-05-08,i turned some ada to shiba and it worked perfectly fine for me. 
939,2021-05-08,i want to buy some shibu.. 2 time i try but could not but it is say time-out but money detected from my bank account ....any body help ? 
940,2021-05-08,can we transfer doge to shib on crypto 
941,2021-05-08,"i agree. doge was a flip coin for me. more money to buy xrp, ada and xli "
942,2021-05-08,i try to buy some shibu.. 2 time i try but could not but it is say time-out but money detected from my bank account ....any body help ? 
943,2021-05-08,i want to buy some shibu.. 2 time i try but could not but it is say time-out but money detected from my bank account ....any body help ? 
944,2021-05-08,i want to buy some shibu.. 2 time i try but could not but it is say time-out but money detected from my bank account ....any body help ? 
945,2021-05-08,just seen shiba listed 
946,2021-05-08,"i bought 15 million shiba, the money came out of my bank but i did not receive anything. is this normal? "
947,2021-05-08,"shiba is the news listing on our app:
//app "
948,2021-05-08,"hello, i bought 12eur on shiba but the coin does not appear on my wallet! what can i do? "
949,2021-05-08,what is the minimum eer amount to buy shiba ?? 
950,2021-05-08,buy shiba 2 hours ago on crypto.com and i did not reflect the money i can make because they already charged all the whole thing 
951,2021-05-08,buy shiba 2 hours ago on crypto.com and i did not reflect the money i can make because they already charged all the whole thing? 
952,2021-05-08,shiba inr to the moon 
953,2021-05-08,buy shiba 2 hours ago on crypto.com and i did not reflect the money i can make because they already charged all the whole thing 
954,2021-05-08,buy shiba 2 hours ago on crypto.com and i did not reflect the money i can make because they already charged all the whole thing? 
955,2021-05-08,I am the only that cannot buy shiba? i do not have the buy button 
956,2021-05-08,here could not resist i had to buy some shiba. $16 got me 1.1mil shib :face_with_tears_of_joy: 
957,2021-05-08,it is possible my coiny is come true? because i was bought 4 times but only one time it is successful and other 3 times it is crypto was took my money but i did not got coiny from shib coiny 
958,2021-05-08,"first off i like cdc... what i do not like is when something new comes out (like shib) to the platform, it is all bagged down. i am simply trying to top my card up. this usually only taken a minute, but today it shoes in the fiat wallet that i topped it, but the balance on the card still hhs not changed. cmon! "
959,2021-05-08,shib ready to buy now!!!:hundred_points::hundred_points::rocket: 
960,2021-05-08,where i can buy dogelon? 
961,2021-05-08,i never heard of dogedom 
962,2021-05-08,he means doge i guess 
964,2021-05-08,seem like you cannot sell shiba on crypto.com 
965,2021-05-08,"hello admin.. so, i bought shiba a few times. only one showing up on my wallet but all transactions have been posted to my bank account. i do not want my money back. i want what i paid for. will i be getting what i paid for? are you sure that i will or will not? please answer me as soon as possible. no disrespect because i know you are getting a lot of questions. I will patiently wait. "
967,2021-05-08,imagine shiba gers up to 1 dollar :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: 
968,2021-05-08,anyone haying issue with shiba imu? 
969,2021-05-08,"you already have them actually, it just take more time to show up on your wallet.
have a look at the account tab and wallet,and select shiba. you will be able to see the transaction.
but synchro might take longer "
970,2021-05-08,doge sell or buy? 
971,2021-05-08,still cannot login to my account.....its so saad...everytime doge goes up idp what happen with you guts :/ 
972,2021-05-08,is doge going to boom again ? 
973,2021-05-08,"if you are asking about doge in a cdc group chat, you probably should not be putting your money in crypto. "
974,2021-05-08,"the sooner you doge holder lose all your money, the better "
976,2021-05-08,also if you think you will be a millionaire within 1 month for investing $100 on shiba...do not invest in crypto 
977,2021-05-08,i bought shiba inr by visa credit card the transaction was successful but i do not see shiba token in my wale 
978,2021-05-08,"I am re asking this question because i did not get a answer. 

hello admin.. so, i bought shiba a few times. only one showing up on my wallet (but i made about 4) but all transactions have been posted to my bank account. i do not want my money back. i want what i paid for. will i be getting what i paid for? are you sure that i will or will not? please answer me as soon as possible. no disrespect because i know you are getting a lot of questions. I will patiently wait. "
979,2021-05-08,"the fact you do not know what a myrmecoid is, kind of manes me think you need to lose your money on shabu to earn the right to move forward in crypto. "
980,2021-05-08,dogecoin 
981,2021-05-08,got 100million shibaa woof 
982,2021-05-08,doge sell or hold? 
983,2021-05-08,"for example, in the wallet i see 105eur shiba, but when i sell on the confirm screen 95eur. why? hidden fees? "
984,2021-05-08,how can i buy shiba unix (shi) at crypto.com ? 
985,2021-05-08,"hi help please... i have purchase shiba in crypto.com and it hhs produced an error and i cannot realize de operation, but money yes down "
986,2021-05-08,hello guts i just try to buy shiba inr using crypto.com app...the funds were taken out of my bank account but i did not receive my tockens...any ides guys? 
987,2021-05-08,"i have purchase shiba in crypto.com and it hhs produced an error and i cannot realize de operation, but money yes down
i did it 3 times and i though it did not goes through first time and crypto.com hhs deduct the money from my account and not crypto into my portfolio "
988,2021-05-08,"the same thing haptene to me, i bought shiba and i have not received the coiny but yes have taken my money... and i have been waiting a few hours and nothing "
989,2021-05-08,"hi buy shiba coin whit masterwort and i do not received crypto, whyy?? "
990,2021-05-08,why i do not received shiba? 
991,2021-05-08,i did not get my shiba inr either btw. 
992,2021-05-08,where is my shiba? 
993,2021-05-08,why did you guy list shib? stupid decision. 
994,2021-05-08,i buy shiba 
996,2021-05-08,"not stupid, shib is the swizzle "
997,2021-05-08,50 m shiba inr :heart_on_fire::fire::fire::heart_on_fire::fire::heart_on_fire: 
998,2021-05-08,shiba inr rocket :rocket: soon 2021 
999,2021-05-08,shiba fucker everyone 
1000,2021-05-08,"need help 

brought shiba- cro took money from bank but no coins

what can i do????? "
1001,2021-05-08,i bought shiba 4 hours ago. the money gone but i cannot see shiba in my account? 
1002,2021-05-08,can we buy shib with tgbp? 
1003,2021-05-08,me too i bought shiba and showing error 
1004,2021-05-08,who charles 50 for doge 
1005,2021-05-08,shiba inr to moon 
1006,2021-05-08,not true about the $50. ...i have a wallet with 582cdn on doge if i sell i get 559 so $22 cd4 charge 
1007,2021-05-08,it is all based on how much you have. if you have $5000 doge in ust value $50 is nothing. it is the cost of doing biz .. 
1008,2021-05-08,can we buy shabu with tymp getting contact support error 
1009,2021-05-08,they charge 50 dogecoin to transfer it to your own wallet now that doge is worth more $$$ the fee should re-evaluated 
1010,2021-05-08,hello i bought shiba but distractive it 
1011,2021-05-08,hi i bought shiba and did not receive it 
1012,2021-05-08,can anyone help me? i bought shiba but did not receive it 
1013,2021-05-08,"bought shiba inu, why not moon yet "
1014,2021-05-08,"bad experienced using cro, their app crush last time. and see ppl cannot find their shib. "
1015,2021-05-08,i trade shib in other exchange. not in cro or biddance 
1016,2021-05-08,"I have just buy doge on the app but there are not any payment, on the card yes "
1017,2021-05-08,guts i bought shib in the app but i did not get it. i did pay the amount though 
1018,2021-05-08,i spend 55eur but there are not any doge in the app 
1019,2021-05-08,same problem with doge 
1020,2021-05-08,is there anyone bought shiba coiny 
1021,2021-05-08,i just bought shiba 
1022,2021-05-08,well doge and shib problem are here. wonder if cro are just cancel their payment if these coiny rise. if these coiny drop will cro give them the coiny haha. 
1023,2021-05-08,no i just bought it. loa new to this crypto. had to swap from btc to cro them to shiba 
1024,2021-05-08,where are you located? i just bought shib and sold it to see if i could. i had no problem:man_shrugging: 
1025,2021-05-08,look in the chat. well i had no problem buying shib in cro. cam i do not do swap in cro anymore. 
1026,2021-05-08,in your wallet do you have shib ? if not you have to add a token. and normalcy your shib will appear 
1027,2021-05-08,shiba sounder like a doge that is why i bought it 
1028,2021-05-08,"i just bought doge, the money hhs been deduct but I have not received the tokens. please how do i report that? "
1029,2021-05-08,"loa who knows, the way bidens is spending it might drop faster than doge after snp tonight :face_with_tears_of_joy: "
1030,2021-05-08,"I have just buy doge on the app but there are not any payment, on the card yes "
1031,2021-05-08,i need help. i bought the shiba currency by crypto.com. i did not have my deft wallet configured. they charged me the full money for the coiny and the money is not reflected in the application 
1033,2021-05-08,shiba just got listed? 
1034,2021-05-08,o nice shiba going to the moon 
1035,2021-05-08,is this hold on doge or sell? 
1036,2021-05-08,guts i bought shiba when the crash haptene and now i do not have my coins. what to do? 
1037,2021-05-08,where can i buy shiba? 
1038,2021-05-08,"me too, bought shib they took money from bank but did not receive anything "
1039,2021-05-08,shib 
1040,2021-05-08,i have 200million shiba do i buy more? 
1041,2021-05-08,"excuse me 
shiba or shib "
1043,2021-05-08,biro keep going i can see people selling doge to buy this and plus it is way more affordable compare to doge 
1044,2021-05-08,ah ok but do you think I am not too late for shiba? and where do you recommend me to buy it 
1045,2021-05-08,legit bought like 10m shiba today :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing: :rocket::astronaut: 
1046,2021-05-08,dogecoin buy in? 
1047,2021-05-08,"hi, i send 50usd in limacon to crypto.com app (my first try on this platform) to buy shib ... but i am not able to buy it - insufficient balance .... do i need to convert ltm to another coin? or 50usd is not enought? thanks "
1048,2021-05-08,dow you recommend yo buy shiba? 
1049,2021-05-08,i tried to buy shiba inr with my debt visa. transaction went through but did not get my asset!!!! not good very sad i need my refund please 
1050,2021-05-08,hey guts you think shiba and elod will be listed on crypto.com soon ? 
1051,2021-05-08,check bank otherwise it will be the app being bombarder with shiba buyer :face_with_tears_of_joy: 
1052,2021-05-08,yeah it is been slow all day because of the shiba crowd buying it 
1053,2021-05-08,guts why do you like shiba and bonfire so much did not you already miss the train? 
1054,2021-05-08,I am with terry. i bought some shiba. card was dented but nothing in my crypto wallet... 
1055,2021-05-08,spread for shiba...20%....tf??! 
1056,2021-05-08,when I am trying to buy shib coin but transaction not going threw 
1057,2021-05-08,i am missing 4million shiba 
1058,2021-05-08,my does still setting safe at my biddance 
1059,2021-05-08,how to buy shib coin 
1060,2021-05-08,does anyone know how to cancel a transaction on crypto.com? i just got scummed from the doge-event 
1061,2021-05-08,that is why i do not trust shiba still going up soon 
1062,2021-05-08,how? i sell cro but i did not see shib there in the list 
1063,2021-05-08,bought some shiba and it is not showing up? anyone here to help? 
1064,2021-05-08,hello i bought shib but got an error message however my account hhs been charged 
1065,2021-05-08,"same here. bought shiba in, no coin, but got charged on my account "
1066,2021-05-08,"purchase coiny 3x with ""timed out response"" tried a few times thinking it was related to traffic, but it puller all of my money from the bank. no coins, no money in bank. the coiny were shiba. "
1067,2021-05-08,"you have the wallet?
i sold cro for shiba kind of of like a swap. "
1068,2021-05-08,i have. but cannot find the shiba 
1069,2021-05-08,i made a purchase at 3 p.m. of the shiba coin by crypto.com they charged me the money i took away the money and never reflected the purchase on crypto.com i have a big problem ??? i need help 
1070,2021-05-08,i made a purchase at 3 p.m. of the shiba coin by crypto.com they charged me the money i took away the money and never reflected the purchase on crypto.com i have a big problem ??? i need help 
1071,2021-05-08,loos like next doge killer is shib 
1072,2021-05-08,doge plenty capable of killing itself 
1073,2021-05-08,i made a purchase at 3 p.m. of the shiba coin by crypto.com they charged me the money i took away the money and never reflected the purchase on crypto.com i have a big problem ??? i need help. i do not want to lose the money I am buying in my currency 
1074,2021-05-08,buy doge now? 
1075,2021-05-08,i made a purchase at 3 p.m. of the shiba coin by crypto.com they charged me the money i took away the money and never reflected the purchase on crypto.com i have a big problem ??? i need help. i do not want to lose the money I am buying in my currency 
1076,2021-05-08,you have to buy shiba using usdt coin only i think 
1077,2021-05-08,i made mistake buying shiba with crypto.com 
1078,2021-05-08,what you think about doge 
1079,2021-05-08,can we talk here about how shiba inr will rise to 0.0001? 
1080,2021-05-08,"just attempted to buy shib and then the price said ""timed out"" the money still came out of my chucking account. and it is not reflecting in my cro account "
1081,2021-05-08,how do you guts think about doge en snl? 
1082,2021-05-08,"hello i have purchase ps2000 worth of shiba and the payment hhs not shown up in my wallet, what is going on "
1083,2021-05-08,hi I have buy 2 times shib and i do not find it on m'y account 
1084,2021-05-08,i made a purchase at 3 p.m. of the shiba coin by crypto.com they charged me the money i took away the money and never reflected the purchase on crypto.com i have a big problem ??? i need help. i do not want to lose the money I am buying in my currency 
1085,2021-05-08,doge 
1086,2021-05-08,i made a purchase at 3 p.m. of the shiba coin by crypto.com they charged me the money i took away the money and never reflected the purchase on crypto.com i have a big problem ??? i need help. i do not want to lose the money I am buying in my currency 
1087,2021-05-08,hi i also bought shib and do not find it on my account. 
1088,2021-05-08,cannot see my purchase of shib 
1090,2021-05-08,crypto.com do you guts have shiba token? 
1091,2021-05-08,"if you guts are really leaning on elon's performance on snp to help doge price, please reevaluate your crypto investments. "
1092,2021-05-08,elon: howl the doge for i am coming 
1093,2021-05-08,some news about dogecoin 
1094,2021-05-08,"hi admin. brought some shibu, which been deduct from bank balance but showing pending but not gone through to crypto.com. is there an issue with the app "
1095,2021-05-08,doge buy doge said future coin doge 
1096,2021-05-08,buy doge now?? 
1097,2021-05-08,@anniecdc @daheecdc try to buy shiba inr and amount deduct from my account but did not receive any coins. what is the problem? 
1098,2021-05-08,elod will accept doge for tesla and space merch 
1099,2021-05-08,buy doge now???? 
1100,2021-05-08,anyone know when cro listed shib? 
1101,2021-05-08,"fetch some #shib :bone:
 :paw_prints:
 :paw_prints:
 :paw_prints:
get the app to start trading
:backhand_index_pointing_right: crypto.onelink.me/j9lg/6fd5d39 "
1102,2021-05-08,doge is on a nosedive 
1103,2021-05-08,I am kind of happy that i did not go too in with a $1000 to buy shiba inu. i still want my $86 cad back though 
1104,2021-05-08,doge coin:thinking_face: 
1105,2021-05-08,i want to buy more doge 
1106,2021-05-08,"hi 
i buy a doge now 
what? "
1107,2021-05-08,should i buy doge now?? 
1108,2021-05-08,your opinion buy doge? 
1109,2021-05-08,best time for doge 
1110,2021-05-08,same problem i had with shib a little earlier now waiting on support to get back to me. 
1111,2021-05-08,"i just send doge to the scammer and contracted support team, but they never answer "
1112,2021-05-08,think that is doge hype over loop 
1113,2021-05-08,is keeping doge safe as its value decrease 
1114,2021-05-08,why doge is decreasing 
1115,2021-05-08,doge hype is over 
1116,2021-05-08,elod mentioner doge on snp and it went down -.- 
1117,2021-05-08,do not sell your doge.. this is silly 
1118,2021-05-08,i bought 11 million shiba 
1119,2021-05-08,what going to do on doge sell or what? 
1120,2021-05-08,once it is at .1 I am a millionaire and will sell. so holing shiba till 1 mill. but doge selling off once it is in green again and i can make some profit. 
1121,2021-05-08,this is not a doge group 
1122,2021-05-08,i buy doge now.????? 
1123,2021-05-08,how outside america people can watch it and what did happen in snp about doge? tnq.. 
1124,2021-05-08,he brought his mother on and said her present for mother's day will be dogecoin 
1125,2021-05-08,i learned my lesson with doge loa :face_with_tears_of_joy: i pray shiba goes to .1 at some point so i can sell and put that mill in biscotin and ether an ada and other alto that will be long term use. etc. 
1126,2021-05-08,should i keep doge or sell it for loss? 
1127,2021-05-08,it is your money. it is not a doge channel 
1129,2021-05-08,sell the doge or not:smiling_face_with_tear: 
1130,2021-05-08,with doge coin 
1131,2021-05-08,when buying doge?? 
1132,2021-05-08,"when market is fearful, be greedy.. and vice versa. - warren buffet. so its the best time to buy doge as it price hhs gone down. doge will surely rise again very soon today or tomorrow "
1133,2021-05-08,"bought doge earlier today, took my money from my debit card and never gave me my coin -_- "
1134,2021-05-08,"hi, i have bought dogecoin from you and you have deduct money from my account but i have not received anything from you .
can you please check it out "
1135,2021-05-08,"i bought some shiba and the money is showing removed in my bank, but not showing in my coin balance.... @admin "
1136,2021-05-08,"hey, i bought shiba on the app. the money i taken out of my acct, but my #of coiny hhs not increased. "
1137,2021-05-08,"can you help me? i bought shiba and the money hhs been taken out of my bank, but my coin # hhs remainer the same. "
1138,2021-05-08,doge is to ocean 
1139,2021-05-08,why doge getting down? 
1140,2021-05-08,the live is not abs doge 
1141,2021-05-08,"elod literally said ""to the moon""
yet dogecoin dumped
wtf? "
1142,2021-05-08,"i believe people just wanted to book the profit, now it is pimping again, doge! "
1143,2021-05-08,finally able to buy shiba! :rocket: just have patience after the payment and your coiny will appear in the wallet 
1144,2021-05-08,I am a shiba trillionaire 
1145,2021-05-08,crypto.com need to make the transactions faster so many people cannot buy shiba 
1146,2021-05-08,"doge coin ?????
holddd "
1147,2021-05-08,shiba 
1148,2021-05-08,@cryptocom i tried to purchase shib and etf it shower error message but i was charged for both. kindly resolve the issue as it was not credited in the crypto wallet. it is been hours and no one resounding from customer support. 
1149,2021-05-08,i send my dogecoin to website fundsdoge.org and did not get my coin back like even said 
1150,2021-05-08,crypto.com are you closer to fixing the technical issues? i bought shib 3 times and dogecoin once earlier tonight the money was taken out of my account but my crypto is not showing up in my wallet yet 
1151,2021-05-08,"hi, i have bought shib from you and you have deduct money from my account but i have not received anything from you .
can you please check it out "
1152,2021-05-08,i buy shiba inr 15m still not have in my wallet 
1153,2021-05-08,my many already take with crypto.com.. coin shiba still not have in my wallet 
1154,2021-05-08,what is the minimum quantity shiba anu in crypto.com 
1155,2021-05-08,for buy shiba 
1157,2021-05-08,does anyone know how to sell their crypto without transferring it to fiat? (the option is not there for me to sell it to a fiat wallet yet)... would it be a smarten idea just to sell it in exchange for regular btc? for example sell dogecoin into btc? 
1158,2021-05-08,"hello sir,
i payed before 2-3 hours per credit card shiba inr 2 times and did not get anything . but they took the money from the card already.
for help i would be very thankfully "
1159,2021-05-08,40mios of shiba inr 
1160,2021-05-08,"hello, yesterday i made a purchase of shiba inr which. they have charged my bank account but they do not appear in my wallet :crying_face: help "
1161,2021-05-08,would it be a good idea to sell dogecoin? 
1162,2021-05-08,is it right time to buy dogecoin? 
1163,2021-05-08,is it right time to buy dogecoin? 
1164,2021-05-08,everyone with doge is running to shiba 
1165,2021-05-08,any suggestion what to do with dogecoin?? 
1166,2021-05-08,maybe time to buy more doge? 
1167,2021-05-08,shiba down 200% plus 
1168,2021-05-08,does anyone hhs any idea about doge? 
1169,2021-05-08,"guys, people are taking profits from doge because it hhs matured and just before the show was the best moment to sell. 

doge holder are now panicky selling (it hhs dropper a lot since the end of snl, elod failed, really hard), etf and btc are stalling, and easy money come from high volatility, expectation, and shitcoins. 

the onus that are selling doge are coming here, my guess is doge is going to fall a little, still top 10 capitalization, but its revenuer are coming here in shib, which is sure pimping a little, but it is all doge money, we are literally killing doge and shib is standing to its nickname, 0.0001 is highly possible in the next 48 hours, with the expectation of shibaa opening! 

to reach 0.0001 we just need a cap of 39.5b, which is only half of doge, so this is really possible! "
1170,2021-05-08,i not look mu shiba inr 
1171,2021-05-08,"shiba inr is the future coiny guys,don t lose the opportunity to buy it in crypto!!
shiba inr :rocket: to the moon "
1172,2021-05-08,so do you suggest 'switching' doge to shiba? 
1173,2021-05-08,"solo puebla pob example con 1000eur en doge con un ament de 0,10eur galanas 200eur
con 1000eur en shiba y un ament de 0.10eur gantries albedo de 7000eur "
1174,2021-05-08,"yo verdi mim doge to shiba, antes de aver hasta el dia d hoy he multiplicator mim ganancial "
1175,2021-05-08,"shiba inr is the future, if you eat short investment or long is the best plan "
1176,2021-05-08,is the any problem with buy shiba? 
1177,2021-05-08,yox i have problem buying shiba too 
1178,2021-05-08,yo aln con doge 
1179,2021-05-08,dogecoin 
1180,2021-05-08,dogecoin 
1181,2021-05-08,dogecoin 
1182,2021-05-08,why i cannot buy shiba any problems? 
1183,2021-05-08,bye bye doge 
1184,2021-05-08,shib 
1185,2021-05-08,minimum investment on shiba inr in usd? 
1186,2021-05-08,"i do not know, if may just be due to shiba, charles. "
1187,2021-05-08,sell doge before 0 
1188,2021-05-08,how many you lose in doge 
1189,2021-05-08,doge 
1190,2021-05-08,buy shabu 
1191,2021-05-08,i paid for shibaa last night came out my bank nothing in crypto do not buy they are scumming people 
1192,2021-05-08,"not scamming, you just do not know what you do... doge does'tn like, it never tried to be better than it is, it is just useless "
1193,2021-05-08,minimum investment on shiba inr in usd? 
1194,2021-05-08,minimum investment on shiba inr in usd? 
1195,2021-05-08,i did buy coiny last night shiba by card money came out of bank nothing in crypto app they are robbing people 
1196,2021-05-08,why you cannot buy any shiba inr from crypto.com 
1197,2021-05-08,"well, biddance had trouble, most of all exchanger suffer outage while traffic explodes, like during doge wars... "
1198,2021-05-08,how are doge ? 
1199,2021-05-08,"no meros , doge "
1200,2021-05-08,doge coin hold or cell ? 
1201,2021-05-08,/help why you cannot buy any shiba inr from crypto.com 
1202,2021-05-08,why i cannot buy any shiba inr from crypto.com 
1203,2021-05-08,"doge, do not try, it is buggy now. "
1204,2021-05-08,minimum investment on shiba inr in usd? 
1205,2021-05-08,"doge is back at 0,46eur "
1206,2021-05-08,sell doge it will go 35 
1207,2021-05-08,"invest on doge coin now 
send a message "
1208,2021-05-08,"yeah man, invest on doge, not in "
1209,2021-05-08,hi i purchase some shabu token on the app the money hhs come from my bank but i have not received my token can you help 
1210,2021-05-08,hi i purchase some shabu token on the app the money hhs come from my bank but i have not received my token can you help 
1211,2021-05-08,why cannot we buy shiba on crypto? 
1212,2021-05-08,"anyone hhs the same problem 
don' t see the shiba on my wallet "
1213,2021-05-08,"sorry, i need assistance. why am i getting a message saying time out every time i try to buy. and the money hhs left my account, but the shiba hhs not show up. 

please help..... "
1214,2021-05-08,keep holding your doge guts 
1215,2021-05-08,really want to get more shiba 
1216,2021-05-08,now mast be buy dogecoin 
1217,2021-05-08,doge will growth up after 24h 
1218,2021-05-08,guts should i invest in dogecoins 
1219,2021-05-08,shiba predictions? 
1220,2021-05-08,doge sold. 
1221,2021-05-08,did anyone manage to buy shiba yesterday? mine's still not appearer in my wallet after transaction last night 
1222,2021-05-09,loa to all the doge fomes 
1223,2021-05-09,rip doge 
1224,2021-05-09,doge dump:loudly_crying_face: i hate doge 
1225,2021-05-09,to those of you that manage to buy shib last night but it was delayed going into your wallet - did you also get a timed out notification? 
1226,2021-05-09,why i cannot sell my shiba inr on crypto.com app 
1227,2021-05-09,i just logged in and sold my shabu 
1228,2021-05-09,i cannot buy doge 
1229,2021-05-09,"hey guys, should we take out doge? "
1230,2021-05-09,who also want to hold doge? 
1231,2021-05-09,doge hold or sell? 
1232,2021-05-09,"so i tried buying xml, not shiba or doge. i pm'd a staff member here with zero response back. my card hhs an auth. hold on it. i still cannot purchase other coiny because now it just blunks out. all i see is a whole lot of nothing on the issue webpage dealing with bad purchasing transactions. messaging support is useless, it is just there to be delta with in few days.... how about you all stop purchases, wait a hour then cancel all the hold you got on thousand of people's stuff "
1233,2021-05-09,guts could you educate me bout shib? 
1234,2021-05-09,if your apis slow take shiba and doge down for 6 hours... 
1235,2021-05-09,what is the future of shib? 
1236,2021-05-09,actually it is running pretty good but you know what I have put my all savings on doge :grinning_face: 
1238,2021-05-09,beck dogecoin 
1239,2021-05-09,shib to the moon 
1240,2021-05-09,same think with shiba 
1241,2021-05-09,yesterday i bought shiba and do not have coin on wallet 
1242,2021-05-09,i do not understand you crypto.com you are making your own problems. why did you need this shiba inr ????? 
1243,2021-05-09,"your absolutely right, market risk. not provider being down all day with zero notification, still. of the problem with i bet 60% of user because of shiba drop "
1244,2021-05-09,"hey all. yesterday i buy shib 2times, but last wrote timeout.. but my bank finish counter the money..! and crypto not have krypton "
1246,2021-05-09,"hey all. yesterday i buy shib 2times, but last wrote timeout.. but my bank finish counter the money..! and crypto not have krypto. what i do "
1247,2021-05-09,"meh, going to start buying elsewhere and just sell here. first it was 3-8 hour long doge and xcl withdraws, then i loaded few grand on maco card and did not get it for 6 hours. now the best thing about the app, instant withdrawal hhs totally backfired... "
1248,2021-05-09,hello. i bought some shiba yesterday and money were took from my bank. unfortunately i cannot see them in my wallet. assistance never send me feedback 
1249,2021-05-09,@kalrimax since yesterday i can t even access to the crypto. cod app. i didna t trade shiba but i do need to access my money. what a wrong?! 
1250,2021-05-09,how may convert xli into shib? 
1251,2021-05-09,how much shibah feces are if i withdraw my shibah 
1252,2021-05-09,"@nihalcdc 
how can i convert xli into shib or any other coin "
1253,2021-05-09,then how may i buy shib? 
1254,2021-05-09,shiba 1$? 
1255,2021-05-09,please check the shiba circulation supply :). 
1256,2021-05-09,i hope shiba comes on exchange because crypto app hhs spread and too many feces 
1257,2021-05-09,and please learn first about a coin then buy it... doge 10 biggest adpressed are worth 80% of dodge supply 
1258,2021-05-09,"hi, money hhs already taken from my account but not showing in my crypto.com app. i tried to buy shabu coin and when everything is done and money hhs taken out my account app said please try again. where my money is gone "
